acquirer_id,acquirer_name,acquirer_type,deal_count,total_deal_volume_mm,avg_ev_ebitda_multiple,avg_ev_revenue_multiple,distinct_target_sectors,deal_types_observed,sectors_touched,first_transaction_date,most_recent_transaction_date,avg_deals_per_active_year
ACQ-036,Water Street Healthcare,Financial Sponsor,11,3838.8,14.909090909090907,5.029090909090909,6,Bolt-on Acquisition | Platform Investment | Leveraged Buyout | Recapitalization | Bolt-on Acquisition | Recapitalization | Bolt-on Acquisition | Merger of Equals | Carve-out | Minority Investment | Merger of Equals,Physician Groups | Health IT | Health IT | Healthcare Services | Dental | Physician Groups | Dental | Home Health/Hospice | Physician Groups | Health Insurance | Physician Groups,2015-09-11,2024-11-26,1.1
ACQ-006,Molina Healthcare,Strategic,19,8138.000000000002,17.536842105263162,4.525789473684211,8,SPAC Merger | Minority Investment | Carve-out | Platform Investment | Management Buyout | Merger of Equals | SPAC Merger | SPAC Merger | Platform Investment | Minority Investment | Platform Investment | Platform Investment | Minority Investment | Platform Investment | Merger of Equals | Recapitalization | Strategic Acquisition | SPAC Merger | Leveraged Buyout,Revenue Cycle | Dental | Revenue Cycle | Medical Devices | Health Insurance | Dental | Medical Devices | Health Insurance | Dental | Healthcare Services | Pharma/Biotech | Physician Groups | Physician Groups | Pharma/Biotech | Physician Groups | Revenue Cycle | Medical Devices | Home Health/Hospice | Medical Devices,2015-04-23,2024-12-02,1.9
ACQ-029,General Atlantic,Financial Sponsor,10,3662.9,15.37,4.053,7,Carve-out | Bolt-on Acquisition | Management Buyout | Recapitalization | Carve-out | Management Buyout | Platform Investment | Minority Investment | Carve-out | Bolt-on Acquisition,Dental | Dental | Dental | Health Insurance | Physician Groups | Medical Devices | Home Health/Hospice | Pharma/Biotech | Medical Devices | Behavioral Health,2015-04-03,2023-08-12,1.1111111111111112
ACQ-011,Veeva Systems,Strategic,21,9362.199999999999,14.83333333333333,4.725238095238095,9,SPAC Merger | Bolt-on Acquisition | Minority Investment | Management Buyout | Recapitalization | Merger of Equals | Carve-out | Minority Investment | Recapitalization | Carve-out | SPAC Merger | Bolt-on Acquisition | Carve-out | Bolt-on Acquisition | Merger of Equals | Bolt-on Acquisition | Carve-out | Minority Investment | Recapitalization | Platform Investment | Merger of Equals,Physician Groups | Medical Devices | Dental | Medical Devices | Home Health/Hospice | Behavioral Health | Pharma/Biotech | Physician Groups | Behavioral Health | Health IT | Medical Devices | Physician Groups | Dental | Pharma/Biotech | Healthcare Services | Dental | Physician Groups | Health Insurance | Health Insurance | Health IT | Health Insurance,2015-01-17,2024-09-19,2.1
ACQ-033,New Mountain Capital,Financial Sponsor,12,4960.4,15.024999999999999,5.5058333333333325,8,Carve-out | SPAC Merger | Carve-out | Recapitalization | SPAC Merger | Leveraged Buyout | Carve-out | Merger of Equals | Bolt-on Acquisition | Merger of Equals | Bolt-on Acquisition | Leveraged Buyout,Health Insurance | Healthcare Services | Physician Groups | Health IT | Medical Devices | Health IT | Dental | Home Health/Hospice | Behavioral Health | Health IT | Home Health/Hospice | Behavioral Health,2016-02-08,2023-10-13,1.5
ACQ-009,Encompass Health,Strategic,11,3240.5,12.945454545454545,5.005454545454546,6,Management Buyout | Minority Investment | Leveraged Buyout | Minority Investment | Recapitalization | Platform Investment | Merger of Equals | Strategic Acquisition | Strategic Acquisition | Bolt-on Acquisition | Strategic Acquisition,Medical Devices | Revenue Cycle | Physician Groups | Health Insurance | Revenue Cycle | Behavioral Health | Healthcare Services | Physician Groups | Health Insurance | Revenue Cycle | Physician Groups,2016-06-03,2024-02-27,1.2222222222222223
ACQ-030,Summit Partners,Financial Sponsor,22,9142.7,15.572727272727276,4.16,10,Leveraged Buyout | Bolt-on Acquisition | Recapitalization | Carve-out | Merger of Equals | Minority Investment | Strategic Acquisition | Carve-out | Minority Investment | Carve-out | Merger of Equals | Bolt-on Acquisition | Platform Investment | SPAC Merger | Minority Investment | Recapitalization | Recapitalization | Recapitalization | Recapitalization | Bolt-on Acquisition | Platform Investment | Management Buyout,Physician Groups | Physician Groups | Pharma/Biotech | Medical Devices | Revenue Cycle | Revenue Cycle | Physician Groups | Dental | Health IT | Health IT | Behavioral Health | Health Insurance | Home Health/Hospice | Home Health/Hospice | Health Insurance | Healthcare Services | Healthcare Services | Pharma/Biotech | Medical Devices | Medical Devices | Dental | Health Insurance,2015-08-05,2024-07-18,2.2
ACQ-014,HealthStream,Strategic,6,1617.8,22.016666666666666,3.248333333333333,5,SPAC Merger | Minority Investment | Minority Investment | Strategic Acquisition | Platform Investment | Minority Investment,Revenue Cycle | Medical Devices | Dental | Revenue Cycle | Behavioral Health | Health Insurance,2018-05-22,2024-10-04,0.8571428571428571
ACQ-021,KKR,Financial Sponsor,13,4850.0,17.153846153846157,4.060769230769231,8,Minority Investment | Management Buyout | Carve-out | Platform Investment | Recapitalization | Strategic Acquisition | Bolt-on Acquisition | Platform Investment | Bolt-on Acquisition | Carve-out | Recapitalization | Strategic Acquisition | SPAC Merger,Dental | Health IT | Dental | Pharma/Biotech | Behavioral Health | Behavioral Health | Physician Groups | Health Insurance | Health Insurance | Home Health/Hospice | Home Health/Hospice | Pharma/Biotech | Healthcare Services,2016-02-18,2024-07-17,1.4444444444444444
ACQ-039,Apax Partners,Financial Sponsor,11,4243.7,16.454545454545453,5.159090909090909,6,Bolt-on Acquisition | Bolt-on Acquisition | SPAC Merger | Recapitalization | Strategic Acquisition | Platform Investment | Bolt-on Acquisition | Carve-out | Platform Investment | Platform Investment | Carve-out,Home Health/Hospice | Medical Devices | Healthcare Services | Dental | Healthcare Services | Home Health/Hospice | Health Insurance | Behavioral Health | Dental | Home Health/Hospice | Healthcare Services,2015-01-21,2021-07-21,1.5714285714285714
ACQ-008,Acadia Healthcare,Strategic,13,5231.6,13.392307692307694,3.9223076923076925,8,Bolt-on Acquisition | Bolt-on Acquisition | Minority Investment | Minority Investment | Management Buyout | Recapitalization | Leveraged Buyout | Strategic Acquisition | Leveraged Buyout | Carve-out | Bolt-on Acquisition | Bolt-on Acquisition | Strategic Acquisition,Dental | Medical Devices | Physician Groups | Dental | Revenue Cycle | Physician Groups | Healthcare Services | Physician Groups | Behavioral Health | Home Health/Hospice | Medical Devices | Pharma/Biotech | Healthcare Services,2015-02-22,2024-11-02,1.3
ACQ-022,Blackstone,Financial Sponsor,15,5873.8,17.02,4.1259999999999994,9,Merger of Equals | Leveraged Buyout | SPAC Merger | Merger of Equals | Carve-out | Strategic Acquisition | Management Buyout | SPAC Merger | Platform Investment | Recapitalization | Merger of Equals | Platform Investment | Platform Investment | Platform Investment | Carve-out,Pharma/Biotech | Behavioral Health | Medical Devices | Health Insurance | Behavioral Health | Physician Groups | Dental | Healthcare Services | Behavioral Health | Health IT | Healthcare Services | Revenue Cycle | Pharma/Biotech | Behavioral Health | Medical Devices,2015-08-01,2024-11-22,1.5
ACQ-031,Thoma Bravo,Financial Sponsor,19,8226.6,15.147368421052633,3.9031578947368426,8,Bolt-on Acquisition | Leveraged Buyout | Management Buyout | Platform Investment | SPAC Merger | Leveraged Buyout | Recapitalization | Platform Investment | SPAC Merger | Platform Investment | SPAC Merger | Strategic Acquisition | Recapitalization | Carve-out | Platform Investment | Carve-out | Strategic Acquisition | Minority Investment | Minority Investment,Home Health/Hospice | Revenue Cycle | Revenue Cycle | Medical Devices | Revenue Cycle | Physician Groups | Healthcare Services | Healthcare Services | Home Health/Hospice | Healthcare Services | Behavioral Health | Pharma/Biotech | Home Health/Hospice | Health Insurance | Health Insurance | Behavioral Health | Revenue Cycle | Home Health/Hospice | Behavioral Health,2015-07-06,2024-01-23,1.9
ACQ-005,Tenet Healthcare,Strategic,14,6183.599999999999,18.021428571428572,4.571428571428571,8,Minority Investment | Merger of Equals | Minority Investment | Management Buyout | Merger of Equals | SPAC Merger | Merger of Equals | Merger of Equals | Minority Investment | Merger of Equals | Recapitalization | Recapitalization | Management Buyout | Management Buyout,Healthcare Services | Medical Devices | Pharma/Biotech | Revenue Cycle | Healthcare Services | Behavioral Health | Health Insurance | Behavioral Health | Dental | Revenue Cycle | Health IT | Health Insurance | Behavioral Health | Pharma/Biotech,2016-01-25,2024-03-06,1.5555555555555556
ACQ-015,Patterson Companies,Strategic,12,6037.8,16.749999999999996,4.5058333333333325,7,Minority Investment | Platform Investment | Leveraged Buyout | SPAC Merger | Leveraged Buyout | Carve-out | Leveraged Buyout | Platform Investment | Carve-out | Platform Investment | Minority Investment | Leveraged Buyout,Medical Devices | Dental | Dental | Revenue Cycle | Healthcare Services | Health Insurance | Dental | Dental | Pharma/Biotech | Home Health/Hospice | Healthcare Services | Pharma/Biotech,2015-01-16,2024-01-03,1.2
ACQ-027,Bain Capital,Financial Sponsor,14,4830.900000000001,15.271428571428572,4.916428571428571,6,SPAC Merger | Carve-out | Carve-out | Minority Investment | Leveraged Buyout | SPAC Merger | Strategic Acquisition | Management Buyout | Bolt-on Acquisition | SPAC Merger | Merger of Equals | Strategic Acquisition | Merger of Equals | Leveraged Buyout,Healthcare Services | Healthcare Services | Health Insurance | Medical Devices | Behavioral Health | Medical Devices | Medical Devices | Pharma/Biotech | Healthcare Services | Pharma/Biotech | Healthcare Services | Medical Devices | Health IT | Medical Devices,2015-04-02,2024-02-28,1.4
ACQ-024,Hellman & Friedman,Financial Sponsor,11,3893.2,14.354545454545455,3.9981818181818185,7,Bolt-on Acquisition | Minority Investment | Bolt-on Acquisition | Merger of Equals | Management Buyout | Leveraged Buyout | Strategic Acquisition | Minority Investment | Minority Investment | Bolt-on Acquisition | Bolt-on Acquisition,Behavioral Health | Health IT | Health IT | Dental | Behavioral Health | Medical Devices | Medical Devices | Physician Groups | Pharma/Biotech | Dental | Health Insurance,2015-04-02,2024-10-01,1.1
ACQ-037,Frazier Healthcare,Financial Sponsor,15,6858.800000000001,15.273333333333335,5.344666666666666,8,Minority Investment | Minority Investment | Carve-out | Merger of Equals | Recapitalization | Carve-out | Platform Investment | Carve-out | Platform Investment | Merger of Equals | Merger of Equals | Leveraged Buyout | Management Buyout | Management Buyout | Platform Investment,Pharma/Biotech | Medical Devices | Health Insurance | Dental | Health IT | Physician Groups | Physician Groups | Healthcare Services | Revenue Cycle | Healthcare Services | Physician Groups | Pharma/Biotech | Dental | Revenue Cycle | Medical Devices,2015-04-11,2024-11-06,1.5
ACQ-018,Medline Industries,Strategic,17,7840.4,14.558823529411764,4.60764705882353,8,Merger of Equals | Bolt-on Acquisition | Recapitalization | Management Buyout | Platform Investment | Minority Investment | Leveraged Buyout | Management Buyout | Bolt-on Acquisition | Merger of Equals | Minority Investment | Leveraged Buyout | SPAC Merger | Leveraged Buyout | Merger of Equals | SPAC Merger | SPAC Merger,Healthcare Services | Medical Devices | Revenue Cycle | Revenue Cycle | Health Insurance | Behavioral Health | Health IT | Pharma/Biotech | Behavioral Health | Health IT | Health IT | Dental | Healthcare Services | Pharma/Biotech | Medical Devices | Dental | Behavioral Health,2015-02-04,2024-01-11,1.7
ACQ-004,Elevance Health,Strategic,14,4517.900000000001,12.857142857142856,4.66642857142857,8,Merger of Equals | Management Buyout | SPAC Merger | SPAC Merger | Strategic Acquisition | Platform Investment | Minority Investment | Bolt-on Acquisition | Management Buyout | Carve-out | Minority Investment | SPAC Merger | Bolt-on Acquisition | Leveraged Buyout,Home Health/Hospice | Physician Groups | Medical Devices | Physician Groups | Health Insurance | Home Health/Hospice | Revenue Cycle | Pharma/Biotech | Healthcare Services | Medical Devices | Revenue Cycle | Health IT | Healthcare Services | Health IT,2015-04-03,2023-09-27,1.5555555555555556
ACQ-038,Great Hill Partners,Financial Sponsor,15,4877.099999999999,13.726666666666667,4.3839999999999995,8,Management Buyout | Merger of Equals | Minority Investment | Minority Investment | Carve-out | Minority Investment | Bolt-on Acquisition | Merger of Equals | Platform Investment | Recapitalization | Leveraged Buyout | SPAC Merger | Platform Investment | Strategic Acquisition | SPAC Merger,Revenue Cycle | Medical Devices | Dental | Medical Devices | Medical Devices | Revenue Cycle | Home Health/Hospice | Home Health/Hospice | Home Health/Hospice | Physician Groups | Healthcare Services | Revenue Cycle | Health Insurance | Pharma/Biotech | Healthcare Services,2015-03-13,2024-07-24,1.5
ACQ-035,Cerberus Capital,Financial Sponsor,9,4409.099999999999,12.655555555555557,4.2988888888888885,7,Strategic Acquisition | Leveraged Buyout | Strategic Acquisition | Bolt-on Acquisition | Bolt-on Acquisition | Leveraged Buyout | Minority Investment | Strategic Acquisition | Bolt-on Acquisition,Physician Groups | Dental | Home Health/Hospice | Health Insurance | Pharma/Biotech | Behavioral Health | Health IT | Dental | Dental,2015-01-11,2024-04-21,0.9
ACQ-017,Hologic,Strategic,10,4729.4,18.55,4.488999999999999,7,Minority Investment | SPAC Merger | Minority Investment | Strategic Acquisition | Recapitalization | Recapitalization | Platform Investment | Platform Investment | Management Buyout | Bolt-on Acquisition,Home Health/Hospice | Pharma/Biotech | Pharma/Biotech | Physician Groups | Health Insurance | Health Insurance | Behavioral Health | Physician Groups | Health IT | Medical Devices,2016-11-24,2024-05-01,1.1111111111111112
ACQ-012,Phreesia,Strategic,12,4553.7,14.674999999999999,5.088333333333333,6,Minority Investment | Leveraged Buyout | Platform Investment | Bolt-on Acquisition | Management Buyout | Bolt-on Acquisition | Management Buyout | Management Buyout | Leveraged Buyout | Recapitalization | Strategic Acquisition | Recapitalization,Health Insurance | Revenue Cycle | Health IT | Pharma/Biotech | Revenue Cycle | Pharma/Biotech | Revenue Cycle | Behavioral Health | Medical Devices | Pharma/Biotech | Health Insurance | Medical Devices,2015-09-01,2024-02-27,1.2
ACQ-020,Qualifacts,Strategic,12,4374.0,13.241666666666665,5.046666666666666,7,Bolt-on Acquisition | Management Buyout | Management Buyout | Bolt-on Acquisition | Merger of Equals | Strategic Acquisition | Recapitalization | Recapitalization | Strategic Acquisition | Management Buyout | Platform Investment | Management Buyout,Health IT | Dental | Health IT | Behavioral Health | Medical Devices | Revenue Cycle | Dental | Health Insurance | Medical Devices | Behavioral Health | Revenue Cycle | Healthcare Services,2015-06-25,2024-09-20,1.2
ACQ-013,Evolent Health,Strategic,14,6163.5,15.071428571428573,4.924285714285715,6,Recapitalization | Leveraged Buyout | Minority Investment | Leveraged Buyout | SPAC Merger | Platform Investment | Leveraged Buyout | Management Buyout | Bolt-on Acquisition | Bolt-on Acquisition | Minority Investment | Platform Investment | Minority Investment | Leveraged Buyout,Healthcare Services | Healthcare Services | Behavioral Health | Behavioral Health | Healthcare Services | Healthcare Services | Dental | Home Health/Hospice | Pharma/Biotech | Home Health/Hospice | Home Health/Hospice | Health IT | Dental | Home Health/Hospice,2015-03-22,2023-10-10,1.5555555555555556
ACQ-034,Oak Hill Capital,Financial Sponsor,15,5786.099999999999,15.533333333333333,4.661333333333333,9,Minority Investment | Management Buyout | Platform Investment | Platform Investment | Bolt-on Acquisition | SPAC Merger | Recapitalization | Platform Investment | SPAC Merger | Carve-out | Carve-out | Platform Investment | Minority Investment | Platform Investment | Strategic Acquisition,Health IT | Dental | Revenue Cycle | Medical Devices | Health IT | Pharma/Biotech | Physician Groups | Behavioral Health | Healthcare Services | Health Insurance | Pharma/Biotech | Medical Devices | Medical Devices | Health IT | Pharma/Biotech,2015-03-24,2024-07-25,1.5
ACQ-032,Vista Equity Partners,Financial Sponsor,11,3001.7,20.38181818181818,4.268181818181819,7,Carve-out | Management Buyout | Carve-out | Bolt-on Acquisition | Recapitalization | Management Buyout | Carve-out | Carve-out | Recapitalization | Carve-out | Carve-out,Medical Devices | Medical Devices | Healthcare Services | Health Insurance | Health IT | Dental | Medical Devices | Revenue Cycle | Healthcare Services | Healthcare Services | Physician Groups,2017-10-12,2023-12-01,1.5714285714285714
ACQ-002,CVS Health,Strategic,9,4024.4,15.88888888888889,3.8377777777777777,6,Bolt-on Acquisition | Recapitalization | Bolt-on Acquisition | Leveraged Buyout | Bolt-on Acquisition | Leveraged Buyout | Merger of Equals | Merger of Equals | Bolt-on Acquisition,Medical Devices | Medical Devices | Behavioral Health | Medical Devices | Behavioral Health | Dental | Home Health/Hospice | Pharma/Biotech | Health IT,2016-02-18,2023-11-25,1.125
ACQ-007,Amedisys,Strategic,24,11422.800000000001,17.05416666666666,4.214583333333334,10,Minority Investment | Carve-out | Leveraged Buyout | Management Buyout | Recapitalization | Leveraged Buyout | Bolt-on Acquisition | Platform Investment | Strategic Acquisition | SPAC Merger | Recapitalization | Leveraged Buyout | Carve-out | Strategic Acquisition | Merger of Equals | Recapitalization | SPAC Merger | Platform Investment | SPAC Merger | Platform Investment | Platform Investment | Bolt-on Acquisition | Merger of Equals | Leveraged Buyout,Medical Devices | Revenue Cycle | Health IT | Healthcare Services | Health Insurance | Health Insurance | Behavioral Health | Health Insurance | Dental | Home Health/Hospice | Revenue Cycle | Physician Groups | Dental | Physician Groups | Health IT | Physician Groups | Pharma/Biotech | Healthcare Services | Pharma/Biotech | Medical Devices | Medical Devices | Medical Devices | Behavioral Health | Dental,2015-04-09,2024-04-07,2.4
ACQ-010,DaVita,Strategic,12,4144.5,14.29166666666667,4.969166666666667,8,Merger of Equals | Strategic Acquisition | Bolt-on Acquisition | Carve-out | Strategic Acquisition | Recapitalization | SPAC Merger | Leveraged Buyout | Bolt-on Acquisition | Platform Investment | Minority Investment | Strategic Acquisition,Health IT | Home Health/Hospice | Healthcare Services | Medical Devices | Health Insurance | Revenue Cycle | Dental | Health IT | Health Insurance | Dental | Pharma/Biotech | Health Insurance,2016-04-01,2023-12-18,1.5
ACQ-028,Advent International,Financial Sponsor,9,5188.4,14.47777777777778,5.161111111111111,6,Leveraged Buyout | Platform Investment | SPAC Merger | SPAC Merger | Strategic Acquisition | Bolt-on Acquisition | SPAC Merger | Bolt-on Acquisition | Strategic Acquisition,Home Health/Hospice | Home Health/Hospice | Behavioral Health | Medical Devices | Health IT | Health Insurance | Health IT | Behavioral Health | Physician Groups,2016-12-20,2024-07-15,1.0
ACQ-040,Leonard Green,Financial Sponsor,8,2104.8999999999996,14.737499999999999,5.235,7,Bolt-on Acquisition | Management Buyout | Recapitalization | SPAC Merger | Carve-out | Minority Investment | Strategic Acquisition | Bolt-on Acquisition,Home Health/Hospice | Physician Groups | Medical Devices | Behavioral Health | Revenue Cycle | Pharma/Biotech | Health Insurance | Home Health/Hospice,2015-03-22,2024-09-06,0.8
ACQ-023,TPG Capital,Financial Sponsor,6,1853.3000000000002,15.916666666666666,3.9333333333333336,5,Recapitalization | Management Buyout | Strategic Acquisition | Bolt-on Acquisition | Leveraged Buyout | Recapitalization,Home Health/Hospice | Physician Groups | Revenue Cycle | Pharma/Biotech | Dental | Home Health/Hospice,2015-04-21,2024-08-23,0.6
ACQ-026,Warburg Pincus,Financial Sponsor,10,4472.400000000001,13.789999999999997,3.9229999999999996,7,Minority Investment | SPAC Merger | Carve-out | Leveraged Buyout | Merger of Equals | Strategic Acquisition | Leveraged Buyout | Recapitalization | Carve-out | Management Buyout,Medical Devices | Healthcare Services | Pharma/Biotech | Revenue Cycle | Pharma/Biotech | Dental | Revenue Cycle | Health Insurance | Health IT | Dental,2015-04-17,2024-10-09,1.0
ACQ-025,Welsh Carson,Financial Sponsor,9,5266.4,15.52222222222222,4.326666666666666,4,Carve-out | Carve-out | Strategic Acquisition | Carve-out | Management Buyout | Bolt-on Acquisition | SPAC Merger | Merger of Equals | Leveraged Buyout,Dental | Physician Groups | Physician Groups | Health Insurance | Health IT | Dental | Health IT | Physician Groups | Health IT,2015-08-26,2022-11-09,1.125
ACQ-003,HCA Healthcare,Strategic,6,2701.4,14.333333333333334,4.461666666666667,6,Recapitalization | Minority Investment | Leveraged Buyout | Bolt-on Acquisition | SPAC Merger | Recapitalization,Behavioral Health | Health Insurance | Pharma/Biotech | Physician Groups | Home Health/Hospice | Medical Devices,2016-01-22,2024-06-23,0.6666666666666666
ACQ-001,UnitedHealth Group,Strategic,11,5489.2,14.618181818181819,4.273636363636364,7,Merger of Equals | Carve-out | Minority Investment | Bolt-on Acquisition | Minority Investment | Merger of Equals | Bolt-on Acquisition | Strategic Acquisition | Management Buyout | Carve-out | SPAC Merger,Healthcare Services | Health Insurance | Revenue Cycle | Pharma/Biotech | Physician Groups | Home Health/Hospice | Behavioral Health | Home Health/Hospice | Home Health/Hospice | Health Insurance | Home Health/Hospice,2016-08-22,2023-11-11,1.375
ACQ-019,R1 RCM,Strategic,8,3519.7000000000003,15.5625,4.51875,6,Merger of Equals | Recapitalization | Management Buyout | Strategic Acquisition | SPAC Merger | Platform Investment | Strategic Acquisition | Management Buyout,Health IT | Health Insurance | Medical Devices | Physician Groups | Dental | Healthcare Services | Health IT | Health IT,2016-06-08,2024-04-12,0.8888888888888888
ACQ-016,Henry Schein,Strategic,10,4419.999999999999,16.48,5.237,8,Strategic Acquisition | Platform Investment | Bolt-on Acquisition | Platform Investment | Bolt-on Acquisition | Strategic Acquisition | Carve-out | Platform Investment | Leveraged Buyout | Management Buyout,Pharma/Biotech | Dental | Physician Groups | Revenue Cycle | Health Insurance | Home Health/Hospice | Healthcare Services | Pharma/Biotech | Pharma/Biotech | Health IT,2017-10-14,2024-10-04,1.25
